config,run,sample,accuracy (bool)
d1_w10,0,0,1
d1_w10,0,1,1
d1_w10,0,2,1
d1_w10,0,3,1
d1_w10,0,4,1
d1_w10,0,5,0
d1_w10,0,6,1
d1_w10,0,7,0
d1_w10,0,8,1
d1_w10,0,9,1
d1_w10,0,10,0
d1_w10,0,11,1
d1_w10,0,12,1
d1_w10,0,13,0
d1_w10,0,14,1
d1_w10,0,15,1
d1_w10,0,16,1
d1_w10,0,17,0
d1_w10,0,18,1
d1_w10,0,19,1
d1_w10,0,20,0
d1_w10,0,21,1
d1_w10,0,22,1
d1_w10,0,23,1
d1_w10,0,24,1
d1_w10,0,25,1
d1_w10,0,26,0
d1_w10,0,27,1
d1_w10,0,28,1
d1_w10,0,29,1
d1_w10,1,0,0
d1_w10,1,1,1
d1_w10,1,2,0
d1_w10,1,3,1
d1_w10,1,4,0
d1_w10,1,5,0
d1_w10,1,6,0
d1_w10,1,7,1
d1_w10,1,8,0
d1_w10,1,9,0
d1_w10,1,10,0
d1_w10,1,11,0
d1_w10,1,12,0
d1_w10,1,13,0
d1_w10,1,14,1
d1_w10,1,15,0
d1_w10,1,16,1
d1_w10,1,17,1
d1_w10,1,18,0
d1_w10,1,19,0
d1_w10,1,20,0
d1_w10,1,21,0
d1_w10,1,22,1
d1_w10,1,23,0
d1_w10,1,24,0
d1_w10,1,25,1
d1_w10,1,26,0
d1_w10,1,27,0
d1_w10,1,28,0
d1_w10,1,29,1
d1_w10,2,0,0
d1_w10,2,1,0
d1_w10,2,2,0
d1_w10,2,3,0
d1_w10,2,4,0
d1_w10,2,5,1
d1_w10,2,6,1
d1_w10,2,7,1
d1_w10,2,8,0
d1_w10,2,9,1
d1_w10,2,10,0
d1_w10,2,11,1
d1_w10,2,12,1
d1_w10,2,13,1
d1_w10,2,14,0
d1_w10,2,15,0
d1_w10,2,16,1
d1_w10,2,17,0
d1_w10,2,18,0
d1_w10,2,19,0
d1_w10,2,20,0
d1_w10,2,21,1
d1_w10,2,22,0
d1_w10,2,23,0
d1_w10,2,24,0
d1_w10,2,25,1
d1_w10,2,26,0
d1_w10,2,27,0
d1_w10,2,28,1
d1_w10,2,29,0
