setup (ms),inference (ms),proving (ms),verifying (ms),proof size (KB),accuracy (bool)
0,0,9,2,455.280,1
0,0,8,2,455.132,0
0,0,9,2,455.360,1
0,0,10,2,455.301,1
0,0,9,2,455.229,0
0,0,9,3,455.303,0
0,0,9,2,455.345,1
0,0,10,3,455.218,0
0,0,9,2,455.215,0
0,0,9,2,455.402,1
0,0,9,2,455.095,0
0,0,9,2,455.207,0
0,0,8,2,455.251,1
0,0,8,2,455.106,0
0,0,9,2,455.206,0
0,0,8,2,455.347,1
0,0,8,2,455.155,0
0,0,8,2,455.233,0
0,0,8,2,455.293,1
0,0,8,2,455.340,1
0,0,8,2,455.204,0
0,0,8,2,455.323,1
0,0,8,2,455.193,0
0,0,8,2,455.107,0
0,0,8,2,455.375,1
0,0,8,2,455.205,0
0,0,8,2,455.262,0
0,0,8,2,455.229,0
0,0,8,2,455.370,1
0,0,9,2,455.185,0
0,0,8,2,455.068,1
0,0,8,2,455.393,1
0,0,8,2,455.206,0
0,0,8,2,455.363,1
0,0,8,2,455.210,1
0,0,8,2,455.210,1
0,0,8,2,455.193,1
0,0,7,2,455.339,1
0,0,8,2,455.101,1
0,0,8,2,455.063,1
0,0,8,2,455.072,1
0,0,7,2,455.337,0
0,0,8,2,455.111,1
0,0,8,2,455.151,1
0,0,8,2,455.375,1
0,0,8,2,455.161,0
0,0,8,2,455.438,1
0,0,8,2,455.368,1
0,0,8,2,455.156,0
0,0,8,2,455.086,0
0,0,8,2,455.111,0
0,0,8,2,455.178,1
0,0,8,2,455.391,1
0,0,8,2,455.383,0
0,0,8,2,455.139,1
0,0,8,2,455.338,1
0,0,8,2,455.174,0
0,0,8,2,455.116,0
0,0,8,2,455.173,1
0,0,8,2,455.390,1
0,0,8,2,455.276,0
0,0,8,2,455.152,0
0,0,8,2,455.354,0
0,0,7,2,455.136,0
0,0,8,2,455.085,0
0,0,8,2,455.307,1
0,0,8,2,455.319,1
0,0,7,2,455.231,1
0,0,8,2,455.197,1
0,0,8,2,455.230,1
0,0,7,2,455.171,0
0,0,8,2,455.241,1
0,0,8,2,455.273,1
0,0,8,2,455.257,1
0,0,8,2,455.173,0
0,0,8,2,455.229,1
0,0,9,2,455.252,1
0,0,8,2,455.213,1
0,0,8,2,455.216,1
0,0,7,2,455.228,1
0,0,8,2,455.286,1
0,0,8,2,455.229,1
0,0,8,2,455.200,1
0,0,8,2,455.185,1
0,0,8,2,455.119,0
0,0,8,2,455.235,1
0,0,8,2,455.182,1
0,0,7,2,455.168,1
0,0,8,2,455.297,1
0,0,8,2,455.250,1
0,109845,19,10,455.276,0
0,10163,117,10,455.152,0
0,5543,137,11,455.354,0
0,4169,71,13,455.136,0
